iter	MAE
0	0.7159474586
1	0.6750852011
2	0.6392467581
3	0.608002293
4	0.5801770322
5	0.556528966
6	0.5348715878
7	0.5169922692
8	0.5013981265
9	0.4857197325
10	0.47324476
11	0.4617402071
12	0.4519720003
13	0.4413757129
14	0.4319322143
15	0.4237477814
16	0.4176565398
17	0.4108507306
18	0.4051965472
19	0.4005226738
20	0.396361624
21	0.3922631657
22	0.3883169335
23	0.3853806865
24	0.3827411667
25	0.3801616465
26	0.3770165421
27	0.3746668363
28	0.3719523393
29	0.3695832063
30	0.3670046188
31	0.3649229903
32	0.3626539552
33	0.3612668726
34	0.3594129515
35	0.3573773753
36	0.3558095335
37	0.3544314333
38	0.3531674095
39	0.3521084454
40	0.3505841075
41	0.3487080193
42	0.347807799
43	0.3466459841
44	0.3452152846
45	0.3440015316
46	0.3430557763
47	0.341862527
48	0.3407861715
49	0.3393951164
50	0.3386155625
51	0.3371972018
52	0.3361436578
53	0.3353639721
54	0.3346766438
55	0.333440231
56	0.3325811898
57	0.3319377931
58	0.3311250044
59	0.3306020419
60	0.3299420803
61	0.3294220468
62	0.3288642324
63	0.328266583
64	0.3278185589
65	0.3274337332
66	0.3266846604
67	0.3260337475
68	0.3255178403
69	0.3246481862
70	0.3239957932
71	0.3235032489
72	0.3229631682
73	0.3225084601
74	0.3221086918
75	0.3215839446
76	0.3212007632
77	0.3207448103
78	0.3201367652
79	0.3198069474
80	0.3191202028
81	0.3185288875
82	0.317873726
83	0.3174702972
84	0.3171269831
85	0.31651267
86	0.3161533474
87	0.3155034965
88	0.3151496531
89	0.3146569785
90	0.3143115108
91	0.3139474483
92	0.313453182
93	0.3132223513
94	0.3126308195
95	0.3122977991
96	0.3117655298
97	0.3114868186
98	0.310918409
99	0.3106228427
100	0.3101802333
101	0.3098892271
102	0.3096140694
103	0.3093498514
104	0.309164285
105	0.3086973136
106	0.3082706434
107	0.3077720196
108	0.3074926066
109	0.3072114147
110	0.3070162848
111	0.3066762816
112	0.3061885576
113	0.3059285253
114	0.3057790759
115	0.305556937
116	0.3053979417
117	0.3052033368
118	0.3049894458
119	0.3047400551
120	0.3045311386
121	0.3041910455
122	0.3039719038
123	0.303655355
124	0.3032961837
125	0.3028062719
126	0.3026059938
127	0.3022272634
128	0.3019960338
129	0.3018017351
130	0.3013998357
131	0.3011678857
132	0.3010143687
133	0.3007816916
134	0.3005714337
135	0.3001188356
136	0.2995646186
137	0.2992480402
138	0.29902101
139	0.298565519
140	0.2984213876
141	0.298233338
142	0.2978613756
143	0.297703735
144	0.2974953907
145	0.2971560398
146	0.2968488553
147	0.2966202396
148	0.2964706512
149	0.2962961002
150	0.2960936642
151	0.2957912281
152	0.2956003918
153	0.2954035532
154	0.295213606
155	0.294991222
156	0.2947632985
157	0.2945993994
158	0.2942612269
159	0.2940880972
160	0.2939610726
161	0.2937352421
162	0.293604295
163	0.2933061182
164	0.2931470975
165	0.2929546412
166	0.2927267104
167	0.2925823262
168	0.2923205529
169	0.2921177073
170	0.2918414756
171	0.2917375648
172	0.2914122017
173	0.291118533
174	0.2908937622
175	0.2906572089
176	0.2905131993
177	0.2901608548
178	0.289932732
179	0.2897976301
180	0.2896568122
181	0.2895248816
182	0.2893294156
183	0.2891885208
184	0.2889997404
185	0.2888591333
186	0.2886014921
187	0.2884195703
188	0.2882432162
189	0.2880881524
190	0.2879603574
191	0.2878496118
192	0.287701087
193	0.2875331386
194	0.2872483219
195	0.2871388386
196	0.2870376157
197	0.2868750316
198	0.2867869946
199	0.2866585517
200	0.2864616215
201	0.2863157808
202	0.2861419648
203	0.2860074596
204	0.2859022658
205	0.2857990193
206	0.2856910258
207	0.2854881862
208	0.285385531
209	0.285216577
210	0.2850369729
211	0.2848631173
212	0.2847705577
213	0.2845933451
214	0.2845031832
215	0.2842452296
216	0.2840913905
217	0.2839128879
218	0.2837139572
219	0.283609938
220	0.2834995693
221	0.2833290246
222	0.2832410383
223	0.2830737115
224	0.2828753565
225	0.2827166715
226	0.2825629199
227	0.2823889799
228	0.2822480527
229	0.2821099489
230	0.2819997443
231	0.2818609588
232	0.2816798731
233	0.2816016408
234	0.2815279746
235	0.281444988
236	0.2813185474
237	0.2812390703
238	0.2810394318
239	0.2808997933
240	0.2807477956
241	0.2806254609
242	0.2805689139
243	0.2804802156
244	0.2803534279
245	0.2802528144
246	0.2799921978
247	0.2798856913
248	0.2797928495
249	0.2796720374
250	0.2795973276
251	0.2794595612
252	0.2792634102
253	0.2791342692
254	0.2790750453
255	0.2789611625
256	0.2788213772
257	0.2786067166
258	0.278492962
259	0.2783900075
260	0.2782325252
261	0.2781304536
262	0.2780584041
263	0.2779617993
264	0.2778689641
265	0.2776869702
266	0.2775269241
267	0.2773727275
268	0.2772699438
269	0.2771727573
270	0.2769908364
271	0.2769255983
272	0.276841357
273	0.2767116681
274	0.2766011372
275	0.2764673037
276	0.2763486765
277	0.276259565
278	0.2761856199
279	0.2760408736
280	0.2759434463
281	0.2758550692
282	0.2757487182
283	0.2756766101
284	0.2754981954
285	0.2753592831
286	0.2752695076
287	0.2751723752
288	0.2750423462
289	0.2749331983
290	0.2747962046
291	0.2747001425
292	0.2745582554
293	0.2744511394
294	0.2743653839
295	0.2742982443
296	0.2742442802
297	0.2741504239
298	0.2740889088
299	0.2740132629
300	0.2739456998
301	0.2738429988
302	0.2737630109
303	0.273640222
304	0.2735769156
305	0.2735342548
306	0.2734592314
307	0.2733618608
308	0.2732726328
309	0.2732242845
310	0.273160058
311	0.272977161
312	0.272906347
313	0.2728162648
314	0.272715859
315	0.2726367474
316	0.2725130207
317	0.2724659686
318	0.2722011706
319	0.2720905157
320	0.2720360585
321	0.2718735368
322	0.2717980113
323	0.2717272831
324	0.2715367546
325	0.2714301749
326	0.2713477545
327	0.2712705549
328	0.2712168904
329	0.2711553398
330	0.2710671143
