iter	Passed	Remaining
0	317	9533208
1	487	7315508
2	657	6575141
3	878	6590451
4	1048	6287443
5	1208	6041265
6	1335	5721399
7	1497	5614258
8	1630	5433299
9	1801	5404180
10	1962	5351516
11	2109	5271752
12	2228	5139687
13	2362	5059616
14	2482	4962187
15	2613	4897759
16	2734	4823441
17	2873	4786990
18	3051	4814895
19	3185	4775496
20	3324	4746339
21	3456	4710352
22	3590	4679895
23	3718	4644104
24	3855	4623171
25	3992	4602510
26	4140	4596288
27	4313	4617653
28	4459	4609115
29	4605	4600924
30	4734	4577103
31	4856	4548496
32	4958	4502983
33	5060	4460382
34	5159	4417503
35	5269	4386310
36	5371	4350265
37	5479	4320125
38	5596	4299233
39	5702	4271522
40	5807	4243811
41	5911	4216477
42	6011	4188282
43	6115	4163455
44	6220	4140577
45	6322	4117112
46	6429	4097537
47	6536	4078850
48	6687	4087422
49	6824	4087892
50	6934	4072318
51	7064	4068843
52	7193	4064478
53	7298	4047571
54	7425	4042647
55	7571	4048473
56	7698	4043889
57	7832	4043259
58	7991	4055482
59	8135	4059499
60	8245	4046793
61	8350	4032150
62	8491	4035086
63	8623	4033447
64	8728	4019796
65	8862	4019513
66	9013	4027002
67	9124	4016203
68	9281	4026110
69	9408	4022698
70	9527	4016037
71	9654	4012955
72	9763	4002622
73	9881	3996175
74	10015	3996107
75	10142	3993293
76	10263	3988657
77	10390	3985809
78	10589	4010714
79	10793	4036592
80	11004	4064709
81	11150	4068439
82	11269	4061894
83	11407	4062552
84	11518	4053903
85	11631	4045732
86	11738	4035875
87	11900	4045235
88	12019	4039380
89	12133	4032241
90	12267	4032125
91	12421	4037977
92	12549	4035786
93	12654	4026158
94	12768	4019345
95	12877	4011425
96	12985	4003267
97	13136	4008201
98	13304	4018255
99	13419	4012451
100	13530	4005487
101	13636	3997103
102	13746	3990111
103	13853	3982340
104	13956	3973709
105	14065	3966642
106	14181	3961856
107	14297	3957260
108	14432	3957685
109	14538	3950487
110	14648	3944530
111	14754	3937217
112	14864	3931490
113	14970	3924651
114	15067	3915662
115	15193	3914105
116	15303	3908781
117	15408	3902079
118	15525	3898556
119	15657	3898688
120	15764	3892721
121	15878	3888560
122	15991	3884299
123	16102	3879665
124	16206	3873460
125	16325	3870699
126	16436	3866091
127	16549	3862125
128	16660	3857956
129	16797	3859658
130	16928	3859816
131	17028	3853078
132	17138	3848800
133	17252	3845332
134	17363	3841233
135	17475	3837444
136	17583	3832759
137	17692	3828544
138	17797	3823355
139	17921	3822497
140	18049	3822312
141	18171	3820807
142	18283	3817329
143	18387	3812326
144	18507	3810568
145	18615	3806405
146	18713	3800303
147	18814	3794901
148	18920	3790577
149	19029	3786904
150	19157	3786879
151	19279	3785961
152	19382	3781029
153	19488	3776885
154	19597	3773428
155	19702	3769195
156	19808	3765289
157	19911	3760816
158	20017	3756920
159	20132	3754745
160	20233	3749997
161	20354	3749064
162	20476	3748125
163	20588	3745537
164	20700	3743075
165	20804	3739006
166	20921	3737438
167	21022	3733077
168	21126	3729223
169	21231	3725585
170	21360	3726095
171	21473	3723853
172	21598	3723808
173	21721	3723403
174	21830	3720621
175	21938	3717571
176	22045	3714429
177	22162	3713088
178	22284	3712589
179	22401	3711116
180	22509	3708424
181	22627	3707248
182	22754	3707493
183	22881	3707780
184	22997	3706349
185	23107	3703948
186	23216	3701417
187	23326	3699066
188	23435	3696424
189	23548	3694660
190	23662	3692918
191	23772	3690724
192	23890	3689587
193	24036	3692978
194	24154	3691995
195	24268	3690325
196	24372	3687215
197	24475	3683934
198	24644	3690651
199	24760	3689345
200	24879	3688512
201	24991	3686554
202	25112	3686097
203	25247	3687621
204	25359	3685723
205	25470	3683817
206	25596	3684063
207	25715	3683183
208	25828	3681610
209	25930	3678378
210	26047	3677423
211	26165	3676533
212	26316	3680230
213	26466	3683791
214	26570	3680985
215	26681	3679063
216	26793	3677369
217	26918	3677409
218	27038	3676814
219	27156	3676051
220	27272	3674838
221	27385	3673422
222	27493	3671136
223	27629	3672800
224	27758	3673309
225	27866	3671179
226	27977	3669514
227	28092	3668321
228	28197	3665797
229	28311	3664457
230	28420	3662576
231	28526	3660185
232	28642	3659171
233	28766	3659265
234	28888	3659007
235	29000	3657511
236	29114	3656256
237	29226	3654829
238	29342	3653847
239	29454	3652403
240	29564	3650719
241	29681	3649814
242	29782	3647047
243	29906	3647114
244	30037	3648075
245	30156	3647442
246	30273	3646665
247	30390	3645820
248	30504	3644776
249	30618	3643645
250	30729	3642091
251	30845	3641224
252	30962	3640448
253	31079	3639715
254	31208	3640361
255	31340	3641371
256	31458	3640793
257	31579	3640443
258	31695	3639624
259	31807	3638304
260	31911	3636042
261	32018	3634216
262	32148	3634933
263	32272	3635097
264	32405	3636177
265	32532	3636552
266	32661	3637117
267	32783	3637002
268	32899	3636153
269	33016	3635527
270	33128	3634198
271	33241	3633134
272	33348	3631355
273	33471	3631295
274	33603	3632182
275	33730	3632631
276	33846	3631817
277	33963	3631181
278	34074	3629819
279	34192	3629277
280	34305	3628151
281	34424	3627706
282	34536	3626620
283	34660	3626672
284	34792	3627529
285	34908	3626780
286	35026	3626253
287	35153	3626641
288	35266	3625639
289	35380	3624712
290	35492	3623483
291	35607	3622648
292	35728	3622459
293	35862	3623597
294	35999	3624917
295	36110	3623753
296	36207	3621145
297	36340	3622085
298	36455	3621311
299	36566	3620083
300	36681	3619265
301	36805	3619332
302	36920	3618585
303	37051	3619322
304	37176	3619493
305	37279	3617554
306	37413	3618593
307	37546	3619624
308	37663	3619025
309	37785	3618900
310	37912	3619205
311	38031	3618798
312	38139	3617418
313	38262	3617423
314	38479	3626202
315	38592	3625260
316	38714	3625093
317	38825	3623920
318	38947	3623795
319	39077	3624423
320	39189	3623343
321	39317	3623817
322	39451	3624785
323	39591	3626292
324	39727	3627394
325	39849	3627238
326	39958	3625972
327	40113	3628832
328	40253	3630233
329	40370	3629666
330	40486	3629026
331	40619	3629774
332	40736	3629201
333	40872	3630349
334	41007	3631308
335	41117	3630116
336	41230	3629177
337	41369	3630498
338	41488	3630094
339	41604	3629348
340	41725	3629103
341	41845	3628842
342	41959	3627962
343	42163	3634881
344	42299	3635937
345	42422	3635825
346	42550	3636198
347	42671	3635878
348	42789	3635424
349	42908	3634939
350	43119	3642325
351	43240	3642030
352	43373	3642785
353	43503	3643215
354	43623	3642843
355	43748	3642927
356	43867	3642512
357	43978	3641404
358	44090	3640330
359	44216	3640532
360	44329	3639575
361	44457	3639890
362	44595	3641007
363	44712	3640376
364	44826	3639573
365	44953	3639762
366	45075	3639585
367	45197	3639402
368	45307	3638226
369	45435	3638538
370	45548	3637585
371	45663	3636877
372	45798	3637689
373	45922	3637662
374	46037	3636971
375	46157	3636606
376	46279	3636464
377	46410	3636988
378	46518	3635674
379	46630	3634717
380	46745	3633975
381	46874	3634356
382	47006	3634962
383	47121	3634265
384	47237	3633599
385	47346	3632452
386	47462	3631774
387	47580	3631308
388	47691	3630343
389	47810	3629918
390	47927	3629404
391	48041	3628599
392	48181	3629826
393	48481	3643028
394	48618	3643936
395	48733	3643224
396	48849	3642518
397	48969	3642169
398	49088	3641746
399	49211	3641659
400	49335	3641630
401	49480	3643059
402	49603	3642987
403	49716	3642138
404	49838	3641934
405	49961	3641788
406	50080	3641323
407	50207	3641495
408	50322	3640823
409	50438	3640162
410	50553	3639451
411	50694	3640642
412	50823	3640969
413	50962	3641998
414	51077	3641280
415	51190	3640419
416	51329	3641418
417	51470	3642554
418	51591	3642295
419	51714	3642193
420	51861	3643706
421	51994	3644314
422	52113	3643904
423	52226	3643075
424	52353	3643153
425	52466	3642375
426	52576	3641354
427	52701	3641310
428	52814	3640523
429	52935	3640249
430	53061	3640300
431	53211	3642058
432	53330	3641612
433	53471	3642689
434	53592	3642442
435	53713	3642172
436	53839	3642255
437	53969	3642566
438	54081	3641691
439	54206	3641662
440	54355	3643330
441	54484	3643525
442	54617	3644098
443	54738	3643828
444	54851	3643015
445	54962	3642042
446	55086	3641983
447	55218	3642449
448	55334	3641878
449	55467	3642338
450	55607	3643357
451	55722	3642690
452	55862	3643654
453	55974	3642799
454	56093	3642382
455	56223	3642685
456	56383	3644932
457	56500	3644433
458	56614	3643681
459	56757	3644799
460	56887	3645098
461	57007	3644787
462	57132	3644774
463	57248	3644188
464	57357	3643108
465	57474	3642606
466	57589	3641951
467	57707	3641459
468	57826	3641097
469	57973	3642485
470	58118	3643683
471	58236	3643253
472	58372	3643880
473	58493	3643611
474	58606	3642854
475	58728	3642632
476	58854	3642697
477	58984	3642972
478	59111	3643065
479	59264	3644741
480	59400	3645400
481	59524	3645296
482	59661	3646017
483	59772	3645137
484	59889	3644633
485	60005	3644025
486	60122	3643532
487	60233	3642625
488	60380	3643944
489	60522	3644925
490	60645	3644752
491	60771	3644823
492	60876	3643598
493	60996	3643236
494	61125	3643460
495	61255	3643714
496	61390	3644258
497	61507	3643780
498	61653	3644972
499	61788	3645514
500	61903	3644893
501	62029	3644885
502	62131	3643517
503	62252	3643232
504	62375	3643074
505	62489	3642408
506	62603	3641753
507	62725	3641518
508	62879	3643184
509	63014	3643721
510	63129	3643115
511	63247	3642672
512	63373	3642666
513	63494	3642403
514	63626	3642787
515	63740	3642085
516	63869	3642274
517	63990	3642007
518	64165	3644834
519	64382	3649998
520	64531	3651314
521	64682	3652693
522	64848	3654971
523	65013	3657122
524	65170	3658835
525	65290	3658522
526	65469	3661460
527	65658	3664951
528	65818	3666782
529	65989	3669263
530	66121	3669565
531	66254	3669923
532	66382	3669974
533	66496	3669243
534	66626	3669466
535	66765	3670101
536	66899	3670518
537	67031	3670759
538	67161	3670959
539	67288	3670974
540	67400	3670147
541	67528	3670222
542	67651	3669991
543	67761	3669088
544	67888	3669068
545	68031	3669958
546	68152	3669619
547	68270	3669156
548	68393	3668949
549	68509	3668376
550	68634	3668280
551	68748	3667570
552	68870	3667328
553	69002	3667584
554	69132	3667778
555	69290	3669380
556	69409	3668994
557	69534	3668893
558	69650	3668281
559	69780	3668451
560	69897	3667942
561	70028	3668173
562	70143	3667506
563	70267	3667370
564	70409	3668147
565	70543	3668533
566	70664	3668184
567	70782	3667752
568	70902	3667375
569	71025	3667135
570	71140	3666540
571	71332	3669887
572	71463	3670099
573	71603	3670765
574	71755	3672008
575	71878	3671813
576	72001	3671564
577	72129	3671594
578	72246	3671104
579	72373	3671106
580	72500	3671051
581	72628	3671088
582	72761	3671417
583	72901	3672055
584	73033	3672278
585	73147	3671622
586	73261	3670939
587	73383	3670661
588	73505	3670383
589	73634	3670472
590	73763	3670579
591	73894	3670766
592	74033	3671323
593	74183	3672446
594	74299	3671911
595	74427	3671939
596	74542	3671313
597	74673	3671465
598	74801	3671521
599	74921	3671174
600	75051	3671284
601	75170	3670846
602	75309	3671445
603	75469	3673034
604	75688	3677455
605	75818	3677552
606	75936	3677084
607	76064	3677124
608	76188	3676953
609	76322	3677229
610	76453	3677387
611	76598	3678231
612	76735	3678659
613	76855	3678291
614	76972	3677773
615	77093	3677468
616	77206	3676743
617	77328	3676471
618	77450	3676215
619	77577	3676157
620	77706	3676228
621	77854	3677183
622	77988	3677455
623	78119	3677637
624	78235	3677048
625	78365	3677178
626	78479	3676512
627	78596	3676006
628	78726	3676109
629	78845	3675721
630	78983	3676155
631	79137	3677388
632	79267	3677485
633	79396	3677549
634	79519	3677294
635	79657	3677757
636	79776	3677350
637	79899	3677108
638	80033	3677412
639	80160	3677347
640	80304	3678080
641	80420	3677565
642	80540	3677180
643	80650	3676361
644	80769	3675947
645	80893	3675759
646	81017	3675603
647	81164	3676463
648	81309	3677209
649	81434	3677071
650	81667	3681810
651	81789	3681522
652	81909	3681157
653	82030	3680833
654	82146	3680279
655	82268	3679988
656	82387	3679602
657	82500	3678932
658	82623	3678686
659	82779	3679943
660	82911	3680099
661	83031	3679741
662	83153	3679464
663	83285	3679625
664	83409	3679412
665	83517	3678526
666	83648	3678665
667	83777	3678703
668	83906	3678697
669	84050	3679387
670	84160	3678613
671	84283	3678360
672	84416	3678579
673	84542	3678491
674	84657	3677879
675	84778	3677572
676	84898	3677200
677	85017	3676804
678	85163	3677587
679	85290	3677523
680	85411	3677218
681	85527	3676686
682	85660	3676873
683	85871	3680416
684	85993	3680165
685	86148	3681266
686	86291	3681901
687	86439	3682727
688	86554	3682130
689	86670	3681596
690	86780	3680830
691	86896	3680283
692	87023	3680242
693	87153	3680272
694	87272	3679890
695	87397	3679718
696	87545	3680538
697	87674	3680586
698	87784	3679786
699	87917	3679983
700	88038	3679671
701	88154	3679143
702	88267	3678471
703	88385	3678061
704	88528	3678630
705	88649	3678331
706	88803	3679373
707	88943	3679851
708	89065	3679592
709	89177	3678904
710	89300	3678656
711	89423	3678409
712	89539	3677920
713	89657	3677465
714	89780	3677234
715	89899	3676856
716	90042	3677419
717	90200	3678620
718	90335	3678870
719	90448	3678226
720	90559	3677506
721	90690	3677596
722	90822	3677746
723	90933	3677013
724	91062	3677059
725	91206	3677666
726	91364	3678843
727	91487	3678601
728	91613	3678493
729	91729	3677986
730	91853	3677783
731	91969	3677278
732	92081	3676620
733	92196	3676062
734	92321	3675895
735	92461	3676356
736	92603	3676869
737	92721	3676437
738	92840	3676054
739	92955	3675527
740	93076	3675211
741	93208	3675335
742	93341	3675513
743	93461	3675159
744	93575	3674571
745	93720	3675191
746	93859	3675592
747	93987	3675567
748	94103	3675051
749	94238	3675289
750	94353	3674769
751	94487	3674945
752	94606	3674574
753	94736	3674612
754	94862	3674526
755	95015	3675448
756	95172	3676507
757	95291	3676147
758	95409	3675724
759	95534	3675547
760	95654	3675223
761	95778	3675044
762	95912	3675235
763	96041	3675231
764	96177	3675492
765	96336	3676629
766	96454	3676194
767	96575	3675906
768	96688	3675287
769	96829	3675740
770	96962	3675896
771	97083	3675575
772	97213	3675615
773	97329	3675141
774	97473	3675704
775	97610	3675993
776	97724	3675427
777	97853	3675405
778	97975	3675135
779	98089	3674589
780	98194	3673670
781	98322	3673626
782	98446	3673461
783	98580	3673643
784	98731	3674433
785	98870	3674827
786	98983	3674220
787	99100	3673766
788	99220	3673422
789	99338	3672993
790	99463	3672845
791	99583	3672513
792	99703	3672197
793	99828	3672014
794	99972	3672556
795	100099	3672495
796	100230	3672557
797	100348	3672138
798	100455	3671336
799	100571	3670858
800	100692	3670572
801	100810	3670168
802	100935	3670007
803	101085	3670771
804	101418	3678161
805	101560	3678622
806	101677	3678148
807	101794	3677692
808	101923	3677676
809	102049	3677575
810	102170	3677245
811	102374	3679949
812	102525	3680701
813	102676	3681457
814	102814	3681759
815	102929	3681228
816	103058	3681206
817	103175	3680765
818	103312	3681013
819	103433	3680706
820	103543	3680032
821	103673	3680043
822	103807	3680192
823	103951	3680686
824	104069	3680261
825	104194	3680100
826	104330	3680339
827	104444	3679760
828	104561	3679322
829	104691	3679332
830	104819	3679279
831	104942	3679034
832	105089	3679646
833	105220	3679700
834	105350	3679700
835	105479	3679672
836	105599	3679315
837	105716	3678878
838	105833	3678432
839	105956	3678215
840	106091	3678396
841	106254	3679523
842	106400	3680077
843	106524	3679903
844	106644	3679562
845	106758	3679005
846	106878	3678667
847	106998	3678341
848	107126	3678273
849	107253	3678160
850	107378	3677987
851	107517	3678300
852	107653	3678531
853	107783	3678532
854	107903	3678173
855	108030	3678085
856	108153	3677836
857	108294	3678219
858	108433	3678540
859	108544	3677890
860	108682	3678168
861	108818	3678353
862	108962	3678840
863	109080	3678448
864	109206	3678288
865	109335	3678255
866	109457	3678006
867	109583	3677862
868	109713	3677874
869	109849	3678054
870	109988	3678359
871	110118	3678370
872	110229	3677731
873	110361	3677792
874	110485	3677581
875	110620	3677738
876	110733	3677182
877	110855	3676918
878	110984	3676880
879	111120	3677083
880	111286	3678260
881	111420	3678389
882	111540	3678063
883	111670	3678044
884	111801	3678085
885	111920	3677703
886	112055	3677867
887	112181	3677721
888	112303	3677453
889	112435	3677525
890	112590	3678350
891	112720	3678316
892	112834	3677787
893	112949	3677297
894	113082	3677405
895	113195	3676848
896	113331	3677023
897	113448	3676604
898	113562	3676062
899	113708	3676586
900	113852	3677020
901	113982	3677008
902	114106	3676792
903	114227	3676512
904	114344	3676089
905	114479	3676218
906	114616	3676441
907	114727	3675830
908	114864	3676048
909	114999	3676185
910	115121	3675938
911	115231	3675283
912	115361	3675258
913	115489	3675199
914	115613	3675007
915	115740	3674890
916	115871	3674918
917	116002	3674927
918	116176	3676319
919	116331	3677089
920	116462	3677110
921	116596	3677208
922	116717	3676921
923	116921	3679223
924	117043	3678960
925	117176	3679024
926	117301	3678851
927	117444	3679246
928	117579	3679389
929	117715	3679549
930	117839	3679349
